Experimental Time Runs

Algorithm 1: Change Slow
A Values	Time (Seconds)	Optimal Solution	Denominations
100	0.059659	2	5
105	0.067179	3	5
110	0.080745	3	5
115	0.091286	4	5
120	0.099781	4	5
125	0.122862	3	5
130	0.137388	4	5
135	0.16343	4	5
140	0.184956	5	5
145	0.224096	5	5
150	0.242645	3	5
155	0.275232	4	5
160	0.311372	4	5
165	0.354905	5	5
170	0.404611	5	5
175	0.481302	4	5
180	0.507323	5	5
185	0.565504	5	5
190	0.658754	6	5
195	0.755009	6	5
200	0.849741	4	5
205	0.872337	5	5
210	1.014737	5	5
215	1.111459	6	5
220	1.321538	6	5
225	1.32014	5	5
230	1.482989	6	5
235	1.647885	6	5
240	1.814827	7	5
245	2.003832	7	5
250	2.182307	5	5
255	2.358275	6	5
260	2.622021	6	5
265	2.839053	7	5
270	3.047607	7	5
275	3.333869	6	5
280	3.503822	7	5
285	3.847711	7	5
290	4.289411	8	5
295	4.563157	8	5
300	4.864499	6	5

Algorithm 2: Change Greedy
A Values	Time (Seconds)	Optimal Solution	Denominations
10000000	0.061655	200000	5
10500000	0.057153	210000	5
11000000	0.063673	220000	5
11500000	0.064633	230000	5
12000000	0.071189	240000	5
12500000	0.069183	250000	5
13000000	0.081215	260000	5
13500000	0.077206	270000	5
14000000	0.084762	280000	5
14500000	0.083222	290000	5
15000000	0.090696	300000	5
15500000	0.084764	310000	5
16000000	0.092708	320000	5
16500000	0.093748	330000	5
17000000	0.099304	340000	5
17500000	0.096257	350000	5
18000000	0.104777	360000	5
18500000	0.104278	370000	5
19000000	0.109291	380000	5
19500000	0.107785	390000	5
20000000	0.115815	400000	5
20500000	0.113804	410000	5
21000000	0.125373	420000	5
21500000	0.118856	430000	5
22000000	0.126339	440000	5
22500000	0.122825	450000	5
23000000	0.13887	460000	5
23500000	0.127832	470000	5
24000000	0.138369	480000	5
24500000	0.133895	490000	5
25000000	0.148395	500000	5
25500000	0.16193	510000	5
26000000	0.155953	520000	5
26500000	0.151403	530000	5
27000000	0.155452	540000	5
27500000	0.15391	550000	5
28000000	0.165439	560000	5
28500000	0.158962	570000	5
29000000	0.167485	580000	5
29500000	0.177	590000	5
30000000	0.179014	600000	5

Algorithm 3: Change Dynamic Programming
A Values	Time (Seconds)	Optimal Solution	Denominations
100000	0.25919	2000	5
105000	0.292276	2100	5
110000	0.302766	2200	5
115000	0.31237	2300	5
120000	0.322357	2400	5
125000	0.34137	2500	5
130000	0.333386	2600	5
135000	0.35495	2700	5
140000	0.365472	2800	5
145000	0.373987	2900	5
150000	0.393534	3000	5
155000	0.402551	3100	5
160000	0.419097	3200	5
165000	0.431649	3300	5
170000	0.440674	3400	5
175000	0.456714	3500	5
180000	0.461718	3600	5
185000	0.485793	3700	5
190000	0.492811	3800	5
195000	0.541943	3900	5
200000	0.524899	4000	5
205000	0.534462	4100	5
210000	0.548959	4200	5
215000	0.580044	4300	5
220000	0.568512	4400	5
225000	0.581044	4500	5
230000	0.600096	4600	5
235000	0.606615	4700	5
240000	0.632683	4800	5
245000	0.617643	4900	5
250000	0.63479	5000	5
255000	0.636693	5100	5
260000	0.644215	5200	5
265000	0.66126	5300	5
270000	0.679808	5400	5
275000	0.683821	5500	5
280000	0.7385	5600	5
285000	0.753506	5700	5
290000	0.769055	5800	5
295000	0.772055	5900	5
300000	0.785612	6000	5
