A Values	Time (Seconds)	Optimal Solution	Denominations
25	0.038134	2	16
26	0.042613	1	16
27	0.050632	2	16
28	0.058189	1	16
29	0.10578	2	16
30	0.087695	1	16
31	0.09826	2	16
32	0.115842	2	16
33	0.131852	3	16
34	0.152403	2	16
35	0.176469	3	16
36	0.204044	2	16
37	0.235124	3	16
38	0.274222	2	16
39	0.310359	3	16
40	0.363432	2	16
41	0.411635	3	16
42	0.46223	2	16
43	0.55247	3	16
44	0.611119	2	16
45	0.685357	3	16
46	0.776028	2	16
47	0.890871	3	16
48	1.000192	2	16
49	1.13054	3	16
50	1.335554	2	16
51	1.466441	3	16
52	1.634382	2	16
53	1.843405	3	16
54	2.071493	2	16
55	2.357773	3	16
56	2.710211	2	16
57	3.031063	3	16
58	3.324845	2	16
59	3.747512	3	16
60	4.110937	2	16
61	4.616782	3	16
62	5.155715	3	16
63	5.740773	4	16
64	6.273243	3	16
65	6.862796	4	16
66	7.76165	3	16
67	8.681598	4	16
68	9.405064	3	16
69	10.752566	4	16
70	11.247084	3	16
71	12.368927	4	16
72	14.034928	3	16
73	15.689743	4	16
74	17.078556	3	16
A Values	Time (Seconds)	Optimal Solution	Denominations
10000000	0.092285	333334	16
10000001	0.090703	333335	16
10000002	0.092285	333334	16
10000003	0.094752	333335	16
10000004	0.099262	333334	16
10000005	0.091256	333335	16
10000006	0.092243	333334	16
10000007	0.091742	333335	16
10000008	0.092747	333334	16
10000009	0.0983	333335	16
10000010	0.097721	333334	16
10000011	0.098812	333335	16
10000012	0.096712	333334	16
10000013	0.096268	333335	16
10000014	0.09975	333334	16
10000015	0.095246	333335	16
10000016	0.096296	333334	16
10000017	0.093281	333335	16
10000018	0.093791	333334	16
10000019	0.09024	333335	16
10000020	0.093248	333334	16
10000021	0.113804	333335	16
10000022	0.105783	333335	16
10000023	0.095254	333336	16
10000024	0.097257	333335	16
10000025	0.093237	333336	16
10000026	0.094751	333335	16
10000027	0.092245	333336	16
10000028	0.093241	333335	16
10000029	0.092788	333336	16
10000030	0.096718	333335	16
10000031	0.095247	333336	16
10000032	0.094246	333335	16
10000033	0.095254	333336	16
10000034	0.095754	333335	16
10000035	0.096799	333336	16
10000036	0.093209	333335	16
10000037	0.095253	333336	16
10000038	0.091744	333335	16
10000039	0.09128	333336	16
10000040	0.093748	333335	16
10000041	0.093748	333336	16
10000042	0.09479	333335	16
10000043	0.100807	333336	16
10000044	0.092246	333335	16
10000045	0.094753	333336	16
10000046	0.093286	333335	16
10000047	0.092207	333336	16
10000048	0.092785	333335	16
10000049	0.092748	333336	16
10000050	0.091743	333335	16
10000051	0.092786	333336	16
10000052	0.092787	333336	16
10000053	0.094251	333337	16
10000054	0.095793	333336	16
10000055	0.096719	333337	16
10000056	0.098251	333336	16
10000057	0.095293	333337	16
10000058	0.097761	333336	16
10000059	0.094254	333337	16
10000060	0.093747	333336	16
10000061	0.100268	333337	16
10000062	0.09826	333336	16
10000063	0.094748	333337	16
10000064	0.098801	333336	16
10000065	0.099733	333337	16
10000066	0.103774	333336	16
10000067	0.093246	333337	16
10000068	0.09629	333336	16
10000069	0.094749	333337	16
10000070	0.091251	333336	16
10000071	0.092206	333337	16
10000072	0.09425	333336	16
10000073	0.094289	333337	16
10000074	0.092207	333336	16
10000075	0.091742	333337	16
10000076	0.094751	333336	16
10000077	0.096796	333337	16
10000078	0.094712	333336	16
10000079	0.091283	333337	16
10000080	0.091705	333336	16
10000081	0.091283	333337	16
10000082	0.091241	333337	16
10000083	0.091744	333338	16
10000084	0.094792	333337	16
10000085	0.09375	333338	16
10000086	0.093249	333337	16
10000087	0.099266	333338	16
10000088	0.096256	333337	16
10000089	0.092246	333338	16
10000090	0.090751	333337	16
10000091	0.091743	333338	16
10000092	0.091284	333337	16
10000093	0.095253	333338	16
10000094	0.093708	333337	16
10000095	0.093287	333338	16
10000096	0.095215	333337	16
10000097	0.091705	333338	16
10000098	0.094251	333337	16
10000099	0.098772	333338	16
10000100	0.093246	333337	16
A Values	Time (Seconds)	Optimal Solution	Denominations
100000	0.820724	3334	16
100001	0.817173	3335	16
100002	0.826699	3334	16
100003	0.813664	3335	16
100004	0.817174	3334	16
100005	0.820179	3335	16
100006	0.808151	3334	16
100007	0.787077	3335	16
100008	0.797584	3334	16
100009	0.793148	3335	16
100010	0.790102	3334	16
100011	0.795072	3335	16
100012	0.791061	3334	16
100013	0.784086	3335	16
100014	0.796617	3334	16
100015	0.790582	3335	16
100016	0.792107	3334	16
100017	0.793111	3335	16
100018	0.784637	3334	16
100019	0.792107	3335	16
100020	0.79612	3334	16
100021	0.78559	3335	16
100022	0.793072	3335	16
100023	0.787099	3336	16
100024	0.793154	3335	16
100025	0.790603	3336	16
100026	0.788135	3335	16
100027	0.801142	3336	16
100028	0.791606	3335	16
100029	0.798118	3336	16
100030	0.837688	3335	16
100031	0.85774	3336	16
100032	0.872809	3335	16
100033	0.88545	3336	16
100034	0.807683	3335	16
100035	0.794156	3336	16
100036	0.804602	3335	16
100037	0.804099	3336	16
100038	0.815669	3335	16
100039	0.86079	3336	16
100040	0.864801	3335	16
100041	0.797119	3336	16
100042	0.794656	3335	16
100043	0.794113	3336	16
100044	0.789142	3335	16
100045	0.796617	3336	16
100046	0.87086	3335	16
100047	0.7916	3336	16
100048	0.80064	3335	16
100049	0.794113	3336	16
100050	0.794614	3335	16
100051	0.79716	3336	16
100052	0.810156	3336	16
100053	0.846312	3337	16
100054	0.808735	3336	16
100055	0.789059	3337	16
100056	0.795116	3336	16
100057	0.797623	3337	16
100058	0.789624	3336	16
100059	0.796581	3337	16
100060	0.789094	3336	16
100061	0.795618	3337	16
100062	0.786092	3336	16
100063	0.792139	3337	16
100064	0.795075	3336	16
100065	0.799607	3337	16
100066	0.826198	3336	16
100067	0.792147	3337	16
100068	0.78609	3336	16
100069	0.788102	3337	16
100070	0.800631	3336	16
100071	0.79264	3337	16
100072	0.793651	3336	16
100073	0.789599	3337	16
100074	0.790083	3336	16
100075	0.787635	3337	16
100076	0.791064	3336	16
100077	0.794576	3337	16
100078	0.787635	3336	16
100079	0.792569	3337	16
100080	0.79712	3336	16
100081	0.794113	3337	16
100082	0.790144	3337	16
100083	0.798163	3338	16
100084	0.790139	3337	16
100085	0.804679	3338	16
100086	0.793123	3337	16
100087	0.794114	3338	16
100088	0.78956	3337	16
100089	0.815161	3338	16
100090	0.788135	3337	16
100091	0.790102	3338	16
100092	0.788559	3337	16
100093	0.791606	3338	16
100094	0.788559	3337	16
100095	0.798161	3338	16
100096	0.78759	3337	16
100097	0.787634	3338	16
100098	0.793111	3337	16
100099	0.788096	3338	16
100100	0.791566	3337	16
