Question 7: Denominations versus Time

Algorithm 1: Change Slow
A Values	Time (Seconds)	Optimal Solution	Denominations
75	0.040609	25	3
75	0.195019	15	4
75	0.616173	11	5
75	1.326027	8	6
75	2.455511	7	7
75	3.801152	5	8
75	5.439974	5	9
75	7.265835	5	10
75	9.143344	3	11
75	11.172217	3	12

Algorithm 2: Change Greedy
A Values	Time (Seconds)	Optimal Solution	Denominations
11250000	1.029239	3750000	3
11250000	0.60565	2250000	4
11250000	0.457697	1607144	5
11250000	0.29378	1022728	6
11250000	0.250206	865386	7
11250000	0.192008	661766	8
11250000	0.169992	592106	9
11250000	0.141416	489132	10
11250000	0.111759	387932	11
11250000	0.102811	362904	12

Algorithm 3: Change DP
A Values	Time (Seconds)	Optimal Solution	Denominations
1125000	1.829869	375000	3
1125000	2.337219	225000	4
1125000	2.856103	160715	5
1125000	3.390517	102274	6
1125000	3.961532	86540	7
1125000	4.497967	66178	8
1125000	5.076002	59212	9
1125000	5.59438	48914	10
1125000	6.130308	38794	11
1125000	6.816218	36292	12
